epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19661.9,1.30036,0.8174,1.50202,0.59619,0.54789,0.56971,0.27536,1.85598,1.08153,2.01927,0.000428948,0.000428948,0.000428948
43,20126.2,1.28303,0.78839,1.48364,0.60665,0.53482,0.55334,0.2625,1.86235,1.06376,1.99873,0.000418944,0.000418944,0.000418944
44,20590.5,1.27223,0.77822,1.46782,0.6366,0.55639,0.55687,0.2674,1.88666,1.09873,2.03379,0.000408858,0.000408858,0.000408858
45,21053.3,1.26358,0.77795,1.46791,0.55257,0.59694,0.56006,0.26677,1.88347,1.09123,2.06648,0.000398702,0.000398702,0.000398702
46,21518.2,1.26213,0.77703,1.46967,0.57445,0.59635,0.57784,0.27063,1.89367,1.06506,2.05552,0.000388484,0.000388484,0.000388484
47,21980.6,1.24545,0.75149,1.44628,0.54054,0.61938,0.54349,0.25995,1.8968,1.10457,2.07917,0.000378216,0.000378216,0.000378216
48,22445.8,1.26121,0.74586,1.45698,0.57319,0.5531,0.54627,0.26555,1.89474,1.14851,2.07108,0.000367906,0.000367906,0.000367906
49,22913.5,1.22943,0.7429,1.44328,0.59294,0.55322,0.54643,0.26722,1.92133,1.12751,2.11267,0.000357566,0.000357566,0.000357566
50,23378.5,1.23017,0.73613,1.43631,0.57095,0.53994,0.54843,0.26664,1.87862,1.10958,2.07858,0.000347206,0.000347206,0.000347206
51,23849.5,1.21168,0.71798,1.42743,0.6567,0.54778,0.53069,0.25991,1.92545,1.13639,2.10702,0.000336835,0.000336835,0.000336835
52,24320,1.20631,0.72325,1.42373,0.56468,0.61406,0.5566,0.26842,1.90144,1.0784,2.10907,0.000326464,0.000326464,0.000326464
53,24791.2,1.19895,0.7016,1.41257,0.58773,0.54627,0.55482,0.26812,1.9005,1.09946,2.1079,0.000316104,0.000316104,0.000316104
54,25261.3,1.18243,0.69943,1.41186,0.57693,0.54109,0.52341,0.25689,1.91578,1.10765,2.10763,0.000305764,0.000305764,0.000305764
55,25726.4,1.18319,0.69445,1.39988,0.60965,0.59025,0.55503,0.26306,1.90659,1.09836,2.11933,0.000295454,0.000295454,0.000295454
56,26194.6,1.16564,0.68645,1.39092,0.58579,0.57046,0.54908,0.26202,1.91488,1.11134,2.12341,0.000285186,0.000285186,0.000285186
57,26664.9,1.1607,0.67591,1.38408,0.6124,0.52868,0.54132,0.26655,1.8983,1.09845,2.1145,0.000274968,0.000274968,0.000274968
58,27135.3,1.15728,0.67443,1.38714,0.62356,0.54312,0.55998,0.26478,1.9192,1.10701,2.15085,0.000264812,0.000264812,0.000264812
59,27604.5,1.14898,0.67457,1.38892,0.56234,0.57039,0.54665,0.25778,1.92137,1.10515,2.16246,0.000254726,0.000254726,0.000254726
